id,exercise_name,type_of_activity,type_of_equipment,body_part,type,muscle_groups_activated,instructions
push-up-001,Push-Up,Strength,None (bodyweight),Chest,Compound,"Chest, Triceps, Shoulders, Core","Start in a plank position with hands slightly wider than shoulder-width apart. Keep your body in a straight line from head to heels. Lower your chest toward the floor by bending your elbows. Pause briefly, then push through your palms to return to the starting position. Repeat with controlled form."
bodyweight-squat-002,Bodyweight Squat,Strength,None (bodyweight),Legs,Compound,"Quadriceps, Glutes, Hamstrings, Core",Stand with your feet shoulder-width apart and toes slightly turned out. Brace your core and sit your hips back as if lowering into a chair. Keep your chest up and knees tracking over your toes. Lower until thighs are parallel to the floor or as low as mobility allows. Drive through your heels to stand back up.
plank-003,Plank,Strength,None (bodyweight),Core,Isometric,"Core, Shoulders, Glutes","Place your forearms on the floor with elbows under shoulders. Extend your legs back and lift your body into a straight line from head to heels. Engage your core, glutes, and legs to avoid sagging or piking. Hold the position while breathing steadily."
lunges-004,Forward Lunge,Strength,None (bodyweight),Legs,Compound,"Quadriceps, Glutes, Hamstrings, Calves, Core","Stand tall with feet hip-width apart. Step forward with one leg and lower your body until both knees are bent around 90 degrees. Keep your front knee over your ankle and your torso upright. Push through the front heel to return to standing, then switch legs."
jumping-jacks-005,Jumping Jacks,Cardio,None (bodyweight),Full Body,Compound,"Calves, Quadriceps, Shoulders, Core",Stand upright with feet together and arms at your sides. Jump your feet out while raising your arms overhead. Immediately jump back to the starting position. Continue at a steady pace with light landings.
glute-bridge-006,Glute Bridge,Strength,None (bodyweight),Glutes,Compound,"Glutes, Hamstrings, Core","Lie on your back with knees bent and feet flat on the floor about hip-width apart. Keep your arms by your sides. Squeeze your glutes and lift your hips until your body forms a straight line from shoulders to knees. Pause at the top, then lower slowly."
pull-up-007,Pull-Up,Strength,Pull-up Bar,Back,Compound,"Lats, Biceps, Rhomboids, Rear Delts, Core",Grip the pull-up bar slightly wider than shoulder-width with palms facing away. Hang with your arms fully extended and core engaged. Pull your chest toward the bar by driving your elbows down. Lower yourself under control to a full hang.
bicep-curl-008,Dumbbell Bicep Curl,Strength,Dumbbells,Arms,Isolation,"Biceps, Forearms",Stand tall with a dumbbell in each hand and palms facing forward. Keep your elbows close to your torso. Curl the weights up by bending your elbows without swinging your body. Lower the dumbbells slowly to the starting position.
shoulder-press-009,Dumbbell Shoulder Press,Strength,Dumbbells,Shoulders,Compound,"Deltoids, Triceps, Upper Chest, Core",Sit or stand holding dumbbells at shoulder height with palms facing forward. Brace your core and press the weights overhead until your arms are fully extended. Avoid arching your lower back. Lower the dumbbells back to shoulder height with control.
bench-press-010,Barbell Bench Press,Strength,Barbell,Chest,Compound,"Chest, Triceps, Shoulders","Lie on a flat bench with your feet planted on the floor. Grip the bar slightly wider than shoulder-width and unrack it over your chest. Lower the bar to mid-chest with control. Press it back up until your arms are extended, keeping your wrists stacked over your elbows."
deadlift-011,Conventional Deadlift,Strength,Barbell,Full Body,Compound,"Glutes, Hamstrings, Back, Core, Forearms","Stand with your mid-foot under the barbell and feet about hip-width apart. Bend at the hips and knees to grip the bar with a flat back. Brace your core and drive through the floor to lift the bar by extending your hips and knees together. Lower the bar back down with control, keeping it close to your body."
barbell-squat-012,Barbell Back Squat,Strength,Barbell,Legs,Compound,"Quadriceps, Glutes, Hamstrings, Core, Lower Back",Position the barbell across your upper back and stand with feet shoulder-width apart. Brace your core and descend by bending at the hips and knees. Keep your chest up and knees tracking over your toes. Drive through your heels to stand back up.
romanian-deadlift-013,Romanian Deadlift,Strength,Barbell,Hamstrings,Compound,"Hamstrings, Glutes, Lower Back, Core",Stand holding a barbell in front of your thighs with a slight bend in your knees. Push your hips back while keeping the bar close to your legs. Lower until you feel a strong stretch in your hamstrings and your back stays neutral. Drive your hips forward to return to standing.
lat-pulldown-014,Lat Pulldown,Strength,Machine,Back,Compound,"Lats, Biceps, Rhomboids, Rear Delts",Sit at the lat pulldown machine and secure your thighs under the pads. Grip the bar wider than shoulder-width. Pull the bar down toward your upper chest by driving your elbows down and back. Slowly return the bar overhead with control without leaning excessively.
leg-press-015,Leg Press,Strength,Machine,Legs,Compound,"Quadriceps, Glutes, Hamstrings",Sit on the leg press machine with your feet shoulder-width apart on the platform. Unlock the sled and lower it by bending your knees until they reach a comfortable depth. Keep your lower back and hips against the seat. Press through your feet to return to the starting position without locking out aggressively.
chest-fly-016,Machine Chest Fly,Strength,Machine,Chest,Isolation,"Chest, Front Delts",Sit on the chest fly machine with your back supported and elbows slightly bent. Bring the handles together in front of your chest in a hugging motion. Squeeze your chest at the peak. Return the handles slowly until you feel a stretch across your chest.
leg-extension-017,Leg Extension,Strength,Machine,Legs,Isolation,Quadriceps,Sit on the leg extension machine and position the pad over your lower shins. Extend your knees to lift the weight until your legs are nearly straight. Pause briefly at the top. Lower the weight under control until your knees are bent again.
hamstring-curl-018,Seated Hamstring Curl,Strength,Machine,Hamstrings,Isolation,"Hamstrings, Calves",Sit on the hamstring curl machine and place your lower legs behind the roller pad. Curl your heels backward by bending your knees. Squeeze your hamstrings at the end of the movement. Return slowly to the starting position.
seated-row-019,Seated Cable Row,Strength,Cable Machine,Back,Compound,"Lats, Rhomboids, Traps, Biceps, Rear Delts",Sit at the cable row station with your feet on the platform and knees slightly bent. Hold the handle with a neutral grip and keep your chest tall. Pull the handle toward your torso by squeezing your shoulder blades together. Extend your arms forward again while maintaining posture.
dips-020,Parallel Bar Dip,Strength,Parallel Bars,Chest,Compound,"Chest, Triceps, Shoulders, Core",Support your body on parallel bars with arms straight and shoulders down. Lower your body by bending your elbows until your upper arms are roughly parallel to the floor. Lean forward slightly to emphasize the chest or stay more upright for triceps focus. Press back up to the starting position.
mountain-climber-021,Mountain Climber,Cardio,None (bodyweight),Core,Compound,"Core, Shoulders, Hip Flexors, Legs","Start in a high plank position with hands under shoulders. Drive one knee toward your chest, then quickly switch legs in a running motion. Keep your hips level and your core tight. Continue alternating at a controlled but quick pace."
burpee-022,Burpee,Cardio,None (bodyweight),Full Body,Compound,"Chest, Quadriceps, Glutes, Shoulders, Core, Triceps","Stand tall, then squat down and place your hands on the floor. Jump or step your feet back into a plank. Perform a push-up if desired, then jump your feet back toward your hands. Explosively jump upward and reach overhead."
sit-up-023,Sit-Up,Strength,None (bodyweight),Core,Compound,"Rectus Abdominis, Hip Flexors",Lie on your back with knees bent and feet planted. Cross your arms over your chest or place hands lightly behind your head. Engage your core and lift your torso toward your thighs. Lower back down with control without yanking your neck.
russian-twist-024,Russian Twist,Strength,None (bodyweight),Core,Isolation,"Obliques, Rectus Abdominis, Hip Flexors","Sit on the floor with knees bent and lean back slightly while keeping your spine long. Lift your feet if desired for added difficulty. Rotate your torso from side to side, bringing your hands or weight beside each hip. Move with control and keep your core engaged."
calf-raise-025,Standing Calf Raise,Strength,None (bodyweight),Calves,Isolation,"Gastrocnemius, Soleus","Stand upright with feet about hip-width apart. Rise onto the balls of your feet by lifting your heels as high as possible. Pause at the top, then lower your heels slowly back to the floor. Maintain a steady, controlled tempo throughout."
lateral-raise-026,Dumbbell Lateral Raise,Strength,Dumbbells,Shoulders,Isolation,"Lateral Deltoids, Upper Traps",Stand with a dumbbell in each hand and a slight bend in your elbows. Raise your arms out to the sides until they reach shoulder height. Keep your shoulders down and avoid swinging. Lower the weights slowly.
rear-delt-fly-027,Dumbbell Rear Delt Fly,Strength,Dumbbells,Shoulders,Isolation,"Rear Deltoids, Rhomboids, Traps","Hinge at the hips with a flat back and let the dumbbells hang beneath your shoulders. With a slight bend in the elbows, raise the weights out to the sides. Squeeze your shoulder blades together at the top. Lower the dumbbells back down under control."
tricep-pushdown-028,Cable Tricep Pushdown,Strength,Cable Machine,Arms,Isolation,"Triceps, Forearms",Stand facing a cable machine with a rope or straight bar attachment. Keep your elbows tucked close to your sides. Push the handle down until your arms are fully extended. Return slowly until your forearms are above parallel to the floor.
overhead-tricep-extension-029,Overhead Dumbbell Tricep Extension,Strength,Dumbbells,Arms,Isolation,"Triceps, Shoulders, Core",Hold one dumbbell overhead with both hands or two dumbbells as appropriate. Keep your elbows pointing forward and close together. Bend your elbows to lower the weight behind your head. Extend your arms to lift the weight back overhead.
farmer-carry-030,Farmer's Carry,Strength,Dumbbells,Full Body,Compound,"Forearms, Traps, Core, Glutes, Shoulders","Stand between two heavy dumbbells and pick them up with a neutral grip. Keep your chest tall, shoulders down, and core braced. Walk forward in a controlled manner without leaning or letting the weights swing. Set the weights down safely after the desired distance."
step-up-031,Step-Up,Strength,Bench or Box,Legs,Compound,"Quadriceps, Glutes, Hamstrings, Calves, Core","Stand facing a sturdy bench or box. Place one foot fully on the surface and press through that heel to step your body up. Bring the other foot to meet it, then step back down under control. Alternate legs for even training."
hip-thrust-032,Barbell Hip Thrust,Strength,Barbell,Glutes,Compound,"Glutes, Hamstrings, Core","Sit on the floor with your upper back against a bench and a barbell over your hips. Bend your knees and place your feet flat on the floor. Drive through your heels to lift your hips until your torso is parallel to the floor. Squeeze your glutes at the top, then lower with control."
incline-bench-press-033,Incline Dumbbell Bench Press,Strength,Dumbbells,Chest,Compound,"Upper Chest, Shoulders, Triceps",Lie on an incline bench holding a dumbbell in each hand at chest level. Press the dumbbells upward until your arms are extended without locking aggressively. Lower them slowly until your elbows are slightly below the bench line. Keep your feet planted and core engaged.
assisted-pull-up-034,Assisted Pull-Up Machine,Strength,Machine,Back,Compound,"Lats, Biceps, Rhomboids, Rear Delts, Core",Set the assistance weight on the pull-up machine and place your knees or feet on the pad. Grip the handles and begin from a full stretch. Pull yourself up until your chin approaches the bar. Lower back down smoothly with assistance helping control the load.
ab-crunch-machine-035,Ab Crunch Machine,Strength,Machine,Core,Isolation,"Rectus Abdominis, Obliques",Sit on the ab crunch machine and position the pads comfortably against your upper body. Contract your abs to crunch forward through your torso. Avoid pulling with your arms or neck. Return slowly to the starting position.
pec-deck-036,Pec Deck Fly,Strength,Machine,Chest,Isolation,"Chest, Front Delts",Sit with your back against the pad and forearms or elbows placed on the machine arms. Bring the handles together in front of your chest by squeezing your pecs. Pause briefly at the end range. Let the arms return slowly to the open position.
hack-squat-037,Hack Squat,Strength,Machine,Legs,Compound,"Quadriceps, Glutes, Hamstrings",Stand on the platform of the hack squat machine with your shoulders under the pads. Unlock the machine and lower yourself by bending your knees. Keep your back supported and heels planted. Press through your feet to return upward.
smith-machine-squat-038,Smith Machine Squat,Strength,Smith Machine,Legs,Compound,"Quadriceps, Glutes, Hamstrings, Core",Position yourself under the Smith machine bar with feet placed slightly forward. Unrack the bar and lower into a squat while maintaining a neutral spine. Keep your knees tracking over your toes and chest lifted. Drive back up to standing.
kettlebell-swing-039,Kettlebell Swing,Strength,Kettlebell,Full Body,Compound,"Glutes, Hamstrings, Core, Shoulders, Back",Stand with feet shoulder-width apart and hold the kettlebell with both hands. Hinge at the hips and swing the kettlebell back between your legs. Explosively extend your hips to swing the bell to chest height. Let it arc back down naturally and repeat.
goblet-squat-040,Goblet Squat,Strength,Kettlebell or Dumbbell,Legs,Compound,"Quadriceps, Glutes, Core, Upper Back",Hold a kettlebell or dumbbell close to your chest with both hands. Stand with feet shoulder-width apart and brace your core. Sit down into a squat while keeping your elbows inside your knees if possible. Push through your heels to stand back up.
incline-push-up-041,Incline Push-Up,Strength,Bench or Box,Chest,Compound,"Chest, Triceps, Shoulders, Core",Place your hands on a sturdy elevated surface such as a bench or box. Walk your feet back into a straight-body plank. Lower your chest toward the surface by bending your elbows. Press back up to full arm extension.
wall-sit-042,Wall Sit,Strength,None (bodyweight),Legs,Isometric,"Quadriceps, Glutes, Calves, Core",Stand with your back against a wall and slide down until your knees are bent at about 90 degrees. Keep your feet flat and about shoulder-width apart. Hold the position while maintaining even breathing and a braced core.
superman-043,Superman,Strength,None (bodyweight),Back,Isolation,"Lower Back, Glutes, Hamstrings, Upper Back","Lie face down with your arms extended overhead and legs straight. Simultaneously lift your arms, chest, and legs slightly off the floor by contracting your back and glutes. Hold briefly, then lower slowly. Keep the movement controlled and avoid jerking."
bird-dog-044,Bird Dog,Strength,None (bodyweight),Core,Compound,"Core, Lower Back, Glutes, Shoulders","Begin on all fours with hands under shoulders and knees under hips. Extend one arm forward and the opposite leg backward while keeping your hips level. Pause briefly, then return to the starting position. Alternate sides with controlled movement."
